"boxID","magnification","imageName","specimenNR","formation","zh","oh","ow.m","ow.b","o.side","mpw.b","cw.m","cw.b","cw.d","c.side","zh.zw","oh.ow"
"186_427_389_696","x30","283_CC_2_10v_x30_BSE","283CC","NKBS",958.73309353398,0.119899804764417,436.770344985976,309.07463009785,336.885749100387,178.294201943308,341.009704936525,170.76616885459,384.683161507153,431.754536847206,2.49226685612584,0.000274514527235741
"860_403_585_734","x30","283_CC_2_10v_x30_BSE","283CC","NKBS",911.515665720103,0.119185944857229,402.576010671524,320.527298404406,357.821442211914,166.102040028536,453.471231364431,288.962694915479,424.814143604766,409.683540805973,2.14568106886796,0.000296058239184244
"739_1647_476_570","x30","283_CC_2_10v_x30_BSE","283CC","NKBS",769.276064696469,0.0985539655262288,467.462944665897,404.896158342357,350.397216181174,191.37646047431,484.02465188245,313.80047508397,520.733619510842,303.953393477393,1.47729287273424,0.000210827332199918
"392_1351_587_656","x30","283_CC_2_10v_x30_BSE","283CC","NKBS",786.483257925711,0.0995494265016908,466.891730380503,400.007624452163,334.027434089125,193.076358789158,460.753732136155,256.477265970663,498.3744229285,326.809227710457,1.57809715294829,0.000213217369304359
"525_703_408_729","x30","283_CC_2_10v_x30_BSE","283CC","NKBS",894.646669377738,0.142006402922829,330.181484751002,250.93904827963,323.049222471144,136.754781221787,281.448693159593,154.464612855928,316.870356550599,436.094194446577,2.82338391989936,0.000430085905725209
"195_1777_377_588","x30","283_CC_2_10v_x30_BSE","283CC","NKBS",746.285190290973,0.103776895748745,402.004042061637,345.972355365522,303.254746345201,206.554260439853,411.976511140987,249.191309320299,448.565725652255,331.487287477663,1.66371425102934,0.000258148886306058
"956_1300_419_680","x30","283_CV_1_10v_x30_BSE","283CV","NKBS",843.36187057298,0.0966885552358204,474.045624495816,411.635970415592,326.776671930255,201.428310490655,470.971087790927,271.290340693889,528.292540464781,372.774271622303,1.59639178291446,0.000203964661288997
"620_899_493_656","x30","283_CV_1_10v_x30_BSE","283CV","NKBS",836.713401268487,0.0951104703544572,488.209066113039,425.384248112446,340.527349021484,221.103639443151,465.115337085368,290.728918093006,518.564192338062,359.872274789429,1.61351943236955,0.000194815043300395
"242_693_363_654","x30","283_CV_1_10v_x30_BSE","283CV","NKBS",896.191539975508,0.114406957149112,414.13553328941,333.847592066205,340.463023410183,163.132813059838,314.182058822769,177.152727339801,379.186233930213,372.69425522407,2.3634601148006,0.000276254868159698
"714_1682_388_638","x30","283_CV_1_10v_x30_BSE","283CV","NKBS",861.994461675971,0.110679137895044,426.554091363672,346.554297730177,333.169004372853,173.636256606811,355.123026163636,201.624236043162,424.37483372481,386.021584676328,2.0312101311713,0.000259472690887124
"420_1341_439_615","x30","283_CV_1_10v_x30_BSE","283CV","NKBS",769.550346387452,0.0937241841602048,498.483688010533,437.34354283812,360.373736419366,211.227567970952,454.877198355759,287.052833188971,504.275957492838,273.172656626234,1.52605004254715,0.000188018557907605
"1058_1648_414_547","x30","283_CV_2_10v_x30_BSE","283CV","NKBS",696.050870998762,0.106255449622177,429.854525548909,346.570012340339,303.287869223043,191.596878903879,429.223749649437,280.838500323496,435.509155182951,277.895526206593,1.59824624285191,0.000247189324077703
"612_942_457_586","x30","283_CV_2_10v_x30_BSE","283CV","NKBS",791.876349160518,0.106619185875231,424.964751128832,357.564524525736,326.978513746772,178.294201943308,365.562766007175,199.697240588822,430.443259242227,323.909003851927,1.83967650127586,0.000250889481049943
"1191_991_429_584","x30","283_CV_2_10v_x30_BSE","283CV","NKBS",768.718351980526,0.109630041681073,411.13290960901,331.481967775306,287.359378587593,181.705573808129,424.053882237613,267.718614284764,415.346895237639,350.942869969822,1.85078632053023,0.000266653530084303
"865_668_415_604","x30","283_CV_2_10v_x30_BSE","283CV","NKBS",799.678207563691,0.107746784481558,417.03493185547,336.750934080826,291.618598875239,197.723926370241,330.037128687088,169.999035719125,392.368158130569,369.043880635428,2.03808130449154,0.000258363931295088
"32_925_451_655","x30","283_CV_2_10v_x30_BSE","283CV","NKBS",826.773844024037,0.0941202904401514,478.650267862376,427.507407174439,330.085936489281,214.578565639084,486.801476749811,291.103327672607,533.830295700023,381.971726114897,1.54875781813745,0.000196636869880982
"430_700_204_306","x30","284_CV_1_15v_x30_BSE","284CV","NKBS",394.558561857403,0.158901240108733,196.432028250204,158.836419152913,142.055612445798,97.4855147705738,206.593806231805,117.903106784794,214.546837797294,189.925145224218,1.83903228734691,0.000808937531848592
"291_522_210_288","x30","284_CV_1_15v_x30_BSE","284CV","NKBS",396.084293408195,0.157455420335562,199.178403725358,158.97350962543,146.935672379371,98.0425793895244,190.713676692518,95.4959491500349,213.299387881934,184.179815884664,1.85694060044577,0.000790524561852969
"229_1349_440_562","x30","286_CV_1_10v_x30_BSE","286CV","NKBS",658.322780589279,0.0984892692736196,454.802363086915,377.70038733094,301.038231672191,148.221198500895,398.26793353621,265.697065810307,441.927008048947,231.196945143913,1.48966405899402,0.000216553996344997
"716_418_490_564","x30","286_CV_1_10v_x30_BSE","286CV","NKBS",730.73249630527,0.0991310073232329,494.06116964087,399.670512054963,350.948166004451,171.378991880755,434.407311811638,239.268237100883,460.94281264667,251.556126919927,1.58529968633095,0.000200645210380104
"1045_1454_432_639","x30","286_CV_1_10v_x30_BSE","286CV","NKBS",666.540033066567,0.0969129709215171,441.510893891154,386.113931117126,291.017376135254,161.210227614783,438.822906971686,287.531487918394,473.493853755193,259.976822643678,1.40770577649606,0.000219503011731821
"677_1259_389_618","x30","286_CV_1_10v_x30_BSE","286CV","NKBS",762.020762067286,0.0972683489484767,465.641949159157,397.03189769742,323.2731890189,178.340014338037,380.945159953222,237.990183198943,452.136180681114,300.094455953397,1.68537886288895,0.000208890863729355
"570_1620_439_530","x30","286_CV_1_10v_x30_BSE","286CV","NKBS",688.54606011103,0.0934623019743215,482.517393239586,404.411647483893,303.955586425175,166.699339999007,349.215623348674,187.691309743606,459.55540321251,264.84931952663,1.49828737796959,0.00019369727036537
"348_998_384_538","x30","286_CV_1_10v_x30_BSE","286CV","NKBS",638.564823592042,0.0997973567500088,458.107326797935,379.925186301206,296.455070053779,152.896493530013,365.372769397434,207.067766644705,424.451825969591,211.688796595429,1.50444593360706,0.000217847108989872
"524_965_388_641","x30","286_CV_2_10v_x30_BSE","286CV","NKBS",775.682880286341,0.0955531607371495,485.701061605998,398.182459142365,291.001219715776,170.933520298067,427.851226483966,288.797736300784,466.760485572124,324.517257086828,1.66184350274544,0.000196732451893759
"795_621_413_662","x30","286_CV_2_10v_x30_BSE","286CV","NKBS",767.839354656389,0.0930387774409366,486.868597093463,411.159401838537,281.994368804919,183.354052056381,454.095310423004,293.423283983641,493.46832194361,336.078605754942,1.55600536146296,0.00019109627935826
"471_1305_560_634","x30","286_CV_2_10v_x30_BSE","286CV","NKBS",723.973112188611,0.0802113650210039,554.222114191368,495.184250089028,274.172882364436,210.355590494752,568.73027666107,361.988436714913,601.45062761133,330.430704808392,1.20371162478271,0.000144727831977682
"318_588_397_595","x30","286_CV_2_10v_x30_BSE","286CV","NKBS",759.228353181161,0.113121430083679,424.660276534938,340.897893235803,353.826159902103,150.300957580669,434.967972999778,268.79460910865,434.657976024769,293.295857482088,1.74672592028519,0.000266381002260692
"32_1159_514_605","x30","286_CV_2_10v_x30_BSE","286CV","NKBS",794.785325056866,0.0909309909374686,488.284358175307,420.594660218888,304.935138167206,159.861732128493,449.535965742535,287.171386381647,484.89587279152,340.530370629276,1.63908453268808,0.000186225484013604
"795_488_352_533","x30","286_CV_3_10v_x30_BSE","286CV","NKBS",678.651303257134,0.118178479954107,363.025052330899,286.083603072863,266.607276399176,123.982203011629,299.039770034965,162.329610413425,344.268086551569,288.602848019838,1.97128728966714,0.000325538083929224
"362_1260_377_605","x30","286_CV_3_10v_x30_BSE","286CV","NKBS",712.941950415369,0.103854313964426,414.930375751971,332.273746426729,246.385889368008,127.073421176095,341.089547996607,178.614641950295,394.568913966531,351.493157289683,1.80688829043396,0.00025029335048371
"597_1509_333_521","x30","286_CV_3_10v_x30_BSE","286CV","NKBS",649.563726579346,0.113166747977727,375.154047298487,299.499268054723,236.324569172364,124.650280316972,322.572440787153,168.607785801252,355.107690050908,295.50249865034,1.82920208370093,0.00030165407728545
"406_664_375_522","x30","286_CV_3_10v_x30_BSE","286CV","NKBS",649.259727245809,0.106062760422188,408.031455612012,329.12416116029,264.376008342487,145.364459046503,384.828246851744,242.568644554627,409.204326054369,282.938665057364,1.58663945101975,0.000259937705692576
"177_953_367_537","x30","286_CV_3_10v_x30_BSE","286CV","NKBS",680.030180274969,0.100424450084216,432.544734239679,358.089610784212,270.198494076299,150.174083068692,328.382838283828,183.354052056381,397.908817698384,287.330242852413,1.70901007976765,0.000232171246427819
