DATE;SPECIMEN NR;NR OF PICS;AV;MAGNIFICATION;FORMATION;COMMENTS 
08/06/2018;417CC;2;15v;x30;NKLS;
08/06/2018;829CC;2;15v;x30;TAINUI SB;
08/06/2018;485CV;3;15v;x30;NKLS;
08/06/2018;413CC;3;15v;x30;NKLS;
08/06/2018;830CV;2;15v;x30;TAINUI SB;
08/06/2018;831F;2;15v;x30;TAINUI SB;
08/06/2018;832F;2;15v;x30;TAINUI SB;
08/06/2018;607iCV;2;15v;x30;TEWKESBURY;
08/06/2018;608iCC;2;15v;x30;TEWKESBURY;
08/06/2018;609iCV;2;15v;x30;TEWKESBURY;
08/06/2018;610iCC;2;15v;x30;TEWKESBURY;
08/06/2018;611iCV;2;15v;x30;TEWKESBURY;
08/06/2018;612iCV;3;15v;x30;TEWKESBURY;
08/06/2018;613iCC;2;15v;x30;TEWKESBURY;
08/06/2018;614iCV;2;15v;x30;TEWKESBURY;
08/06/2018;615iCV;2;15v;x30;TEWKESBURY;
08/06/2018;616iCC;2;15v;x30;TEWKESBURY;
