date;specimen nr.;nr of pics;AV;magnification;formation;Comments
14/06/2018;688CC;2;10v;x30;TEWKESBURY;
14/06/2018;689CV;2;10v;x30;TEWKESBURY;
14/06/2018;690CC;2;10v;x30;TEWKESBURY;
15/06/2018;691CV;2;10v;x30;TEWKESBURY;
15/06/2018;692CC;2;10v;x30;TEWKESBURY;
15/06/2018;693CV;2;10v;x30;TEWKESBURY;
15/06/2018;694CV;2;10v;x30;TEWKESBURY;
15/06/2018;695CV;2;10v;x30;TEWKESBURY;
15/06/2018;696CC;2;10v;x30;TEWKESBURY;
15/06/2018;697CV;2;10v;x30;TEWKESBURY;
15/06/2018;698CV;2;10v;x30;TEWKESBURY;
15/06/2018;699CV;2;10v;x30;TEWKESBURY;
15/06/2018;600iCV;3;10v;x30;TEWKESBURY;
15/06/2018;601iCV;2;10v;x30;TEWKESBURY;
15/06/2018;602iCC;2;10v;x30;TEWKESBURY;
15/06/2018;603iCV;2;10v;x30;TEWKESBURY;
15/06/2018;604iCV;2;10v;x30;TEWKESBURY;
15/06/2018;605iCV;2;10v;x30;TEWKESBURY;
15/06/2018;606iCC;2;10v;x30;TEWKESBURY;
15/06/2018;482CV;2;10v;x30;NKLS;
15/06/2018;483CV;2;10v;x30;NKLS;
15/06/2018;484CC;2;10v;x30;NKLS;
06/08/2018;1013CC;2;15v;x30;UPPER KAI-IWI SB;
06/08/2018;760CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
06/08/2018;1014CC;2;15v;x30;UPPER KAI-IWI SB;
06/08/2018;761CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
06/08/2018;416CV;2;15v;x30;NKLS;
06/08/2018;417CC;2;15v;x30;NKLS;
06/08/2018;829CC;2;15v;x30;TAINUI SB;
06/08/2018;485CV;3;15v;x30;NKLS;
06/08/2018;413CC;3;15v;x30;NKLS;
06/08/2018;830CV;2;15v;x30;TAINUI SB;
06/08/2018;831F;2;15v;x30;TAINUI SB;
06/08/2018;832F;2;15v;x30;TAINUI SB;
06/08/2018;607iCV;2;15v;x30;TEWKESBURY;
06/08/2018;608iCC;2;15v;x30;TEWKESBURY;
06/08/2018;609iCV;2;15v;x30;TEWKESBURY;
06/08/2018;610iCC;2;15v;x30;TEWKESBURY;
06/08/2018;611iCV;2;15v;x30;TEWKESBURY;
06/08/2018;612iCV;3;15v;x30;TEWKESBURY;
