"folder","formation","image","ext","imageName","specimenNR","number","colonyCurve","pictureNumber","AV","magnification","backscatter"
"Sara","NKLS","542_CV_1_15v_x30_BSE.tif","tif","542_CV_1_15v_x30_BSE_NKLS","542CV","542","CV","1","15v","x30","BSE"
"Sara","NKLS","542_CV_1_15v_x30_BSE.txt","txt","542_CV_1_15v_x30_BSE_NKLS","542CV","542","CV","1","15v","x30","BSE"
"Sara","NKLS","542_CV_2_15v_x30_BSE.tif","tif","542_CV_2_15v_x30_BSE_NKLS","542CV","542","CV","2","15v","x30","BSE"
"Sara","NKLS","542_CV_2_15v_x30_BSE.txt","txt","542_CV_2_15v_x30_BSE_NKLS","542CV","542","CV","2","15v","x30","BSE"
"Sara","NKLS","543_CC_1_15v_x30_BSE.tif","tif","543_CC_1_15v_x30_BSE_NKLS","543CC","543","CC","1","15v","x30","BSE"
"Sara","NKLS","543_CC_1_15v_x30_BSE.txt","txt","543_CC_1_15v_x30_BSE_NKLS","543CC","543","CC","1","15v","x30","BSE"
"Sara","NKLS","543_CC_2_15v_x30_BSE.tif","tif","543_CC_2_15v_x30_BSE_NKLS","543CC","543","CC","2","15v","x30","BSE"
"Sara","NKLS","543_CC_2_15v_x30_BSE.txt","txt","543_CC_2_15v_x30_BSE_NKLS","543CC","543","CC","2","15v","x30","BSE"
"Sara","NKLS","544_CV_1_15v_x30_BSE.tif","tif","544_CV_1_15v_x30_BSE_NKLS","544CV","544","CV","1","15v","x30","BSE"
"Sara","NKLS","544_CV_1_15v_x30_BSE.txt","txt","544_CV_1_15v_x30_BSE_NKLS","544CV","544","CV","1","15v","x30","BSE"
"Sara","NKLS","544_CV_2_15v_x30_BSE.tif","tif","544_CV_2_15v_x30_BSE_NKLS","544CV","544","CV","2","15v","x30","BSE"
"Sara","NKLS","544_CV_2_15v_x30_BSE.txt","txt","544_CV_2_15v_x30_BSE_NKLS","544CV","544","CV","2","15v","x30","BSE"
